village_id_rand,treatment,total_bl_villavg,hindi_bl_villavg,math_bl_villavg,english_bl_villavg,total_ely1_villavg,hindi_ely1_villavg,math_ely1_villavg,english_ely1_villavg,total_ely2_villavg,hindi_ely2_villavg,math_ely2_villavg,english_ely2_villavg,total_ely3_villavg,hindi_ely3_villavg,math_ely3_villavg,english_ely3_villavg,child_female_villfrac,child_scst_villfrac,number_students
270,0,8.333333,3.8666666,2.4666667,2,9.727273,4.5454545,3,2.1818182,10.6,5,3.4000001,2.2,11,4.875,3.375,2.75,.53333336,0,15
271,1,7.8461537,3.1538463,2.5769231,2.1153846,10.733334,4.1333332,3.5333333,3.0666666,11.4,4.5999999,3.5999999,3.2,11.6,4.1333332,4.1333332,3.3333333,.5,.30769232,26
272,1,6.1951218,2.5365853,2.1219511,1.5365853,8.681818,3.590909,2.909091,2.1818182,8.73913,3.3913043,2.7391305,2.6086957,10.36,3.72,3.48,3.1600001,.41463414,.85365856,41
273,1,5.5714288,2.2857144,2,1.2857143,8.875,3.625,2.5,2.75,8.5,3.5,2.5999999,2.4000001,10.363636,4,3.090909,3.2727273,.2857143,0,14
274,1,8.291667,3.4583333,2.6666667,2.1666667,10.647058,4.4705882,3.1176472,3.0588236,10.333333,4.0833335,3.0833333,3.1666667,12.272727,4.4545455,4,3.8181818,.58333331,.041666668,24
275,0,7.5,2.590909,2.6818182,2.2272727,9.25,3.5,3,2.75,8.7142859,3.5,2.7142856,2.5,9.181818,4,2.909091,2.2727273,.40909091,0,22
276,1,8,3.375,2.5,2.125,9.75,4,3,2.75,10.5,3.6666667,3.3333333,3.5,11,3.6666667,3.6666667,3.6666667,.625,.25,8
277,1,7.0714288,3.0357144,2.1785715,1.8571428,8.5789471,3.6315789,2.5263157,2.4210527,8.8823528,3.7058823,2.7647059,2.4117646,11.461538,4.5384617,3.6153846,3.3076923,.4642857,1,28
278,0,8.1875,3.4375,2.875,1.875,9.8461542,4.3076925,3.1538463,2.3846154,11.75,5.25,3.5,3,11.333333,5,3.5,2.8333333,.6875,.8125,16
279,1,4.8333335,1.5555556,1.8333334,1.4444444,6.0833335,2.0833333,2.1666667,1.8333334,5.7272725,1.8181819,2.4545455,1.4545455,8.363636,2.7272727,2.909091,2.7272727,.55555558,1,18
280,1,7.5999999,3.2,2.5999999,1.8,8.3999996,3.5999999,2.5999999,2.2,8,3,2.6666667,2.3333333,9,4,3,2,.40000001,.2,5
281,1,5.5806451,2.1290324,2,1.4516129,6.8499999,2.8499999,2.3499999,1.65,8.2380953,3.2380953,2.6666667,2.3333333,11.444445,3.8333333,3.8333333,3.7777777,.58064514,.064516127,31
282,0,5.5,2.25,2,1.25,7.090909,3,2.3636363,1.7272727,8.2222223,3.3333333,3.1111112,1.7777778,10.2,4.8000002,2.8,2.5999999,.4375,.125,16
